iter	RMSE
0	0.6794048778
1	0.6475541552
2	0.6194747269
3	0.596327469
4	0.5747557591
5	0.5569899043
6	0.5425711008
7	0.5296307804
8	0.5182094495
9	0.5073917784
10	0.4990052557
11	0.4916264086
12	0.4843497046
13	0.4787523775
14	0.4731249372
15	0.4679997429
16	0.4633581954
17	0.4597589546
18	0.4566169494
19	0.4540700184
20	0.4515587062
21	0.4482134731
22	0.4464479104
23	0.4442559156
24	0.4422955032
25	0.4403356933
26	0.4385741256
27	0.4370829833
28	0.435509993
29	0.4344592986
30	0.4332901175
31	0.4318872342
32	0.4307748287
33	0.429494723
34	0.4284271026
35	0.4277033666
36	0.4269184045
37	0.4255630397
38	0.4247289064
39	0.4239136269
40	0.4231736532
41	0.4223526308
42	0.4215345004
43	0.4206742301
44	0.4201912364
45	0.4194599798
46	0.4189289752
47	0.4185323308
48	0.4180355059
49	0.4175605457
50	0.4171623161
51	0.4167243882
52	0.4164769007
53	0.4158482991
54	0.4149970487
55	0.4146021156
56	0.41382149
57	0.41296672
58	0.4123848988
59	0.4119149429
60	0.4115693356
61	0.4111095116
62	0.4108319197
63	0.4103741772
64	0.4099196631
65	0.4096710546
66	0.4093651838
67	0.4091874601
68	0.4086659797
69	0.4081009095
70	0.4079225355
71	0.4077130059
72	0.4074991863
73	0.4071890041
74	0.4069653731
75	0.4064971007
76	0.4062009049
77	0.4060248228
78	0.4056018289
79	0.4054235357
80	0.4049790645
81	0.4046493542
82	0.4042967961
83	0.4041121872
84	0.4038883758
85	0.4038003127
86	0.4036621865
87	0.4035640021
88	0.403450123
89	0.4029440419
90	0.4027644544
91	0.4025296145
92	0.4023282834
93	0.4021522847
94	0.4020296917
95	0.4015581386
96	0.4011493118
97	0.4009034711
98	0.4007645476
99	0.4006193883
