iter	Passed	Remaining
0	144	14322
1	148	7254
2	151	4887
3	154	3703
4	157	2987
5	160	2510
6	163	2167
7	165	1906
8	168	1704
9	171	1540
10	173	1406
11	176	1293
12	179	1200
13	181	1117
14	184	1046
15	187	984
16	190	928
17	192	877
18	195	833
19	197	791
20	200	753
21	203	720
22	205	689
23	208	660
24	210	632
25	213	607
26	216	584
27	219	563
28	221	542
29	224	522
30	226	504
31	229	487
32	231	470
33	234	455
34	237	440
35	239	425
36	241	411
37	244	398
38	246	386
39	249	374
40	252	362
41	254	351
42	256	340
43	259	330
44	261	320
45	264	310
46	267	301
47	269	291
48	271	282
49	274	274
50	276	265
51	278	257
52	281	249
53	283	241
54	286	234
55	288	226
56	290	219
57	293	212
58	296	205
59	298	199
60	301	192
61	303	186
62	305	179
63	308	173
64	311	167
65	313	161
66	316	155
67	318	149
68	321	144
69	323	138
70	326	133
71	328	127
72	331	122
73	333	117
74	335	111
75	338	106
76	340	101
77	343	96
78	345	91
79	347	86
80	350	82
81	352	77
82	355	72
83	357	68
84	360	63
85	362	59
86	364	54
87	367	50
88	369	45
89	371	41
90	374	37
91	377	32
92	379	28
93	381	24
94	384	20
95	386	16
96	389	12
97	391	7
98	393	3
99	396	0
